mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time
1.68,0.713,0.604,0.113,1.331,0.128,2.176,113.974
2.947,0.681,0.118,0.083,1.124,0.169,1.494,101.941
3.068,0.717,0.073,0.07,0.897,0.166,1.207,98.931
3.099,0.746,0.057,0.062,0.765,0.163,1.048,101.541
3.081,0.766,0.056,0.058,0.695,0.151,0.96,98.903
3.148,0.791,0.026,0.051,0.619,0.144,0.841,61.576
3.131,0.805,0.029,0.046,0.576,0.143,0.793,63.543
3.067,0.844,0.024,0.042,0.484,0.136,0.687,63.69
3.155,0.848,0.027,0.039,0.453,0.139,0.658,66.778
3.116,0.865,0.022,0.036,0.397,0.132,0.587,64.61
3.236,0.882,0.017,0.034,0.355,0.122,0.528,62.81
3.131,0.894,0.011,0.028,0.318,0.117,0.474,61.462
3.086,0.898,0.016,0.026,0.3,0.116,0.459,63.93
3.192,0.91,0.014,0.024,0.286,0.11,0.433,60.959
3.13,0.908,0.013,0.023,0.283,0.111,0.431,63.951
3.244,0.925,0.009,0.021,0.225,0.098,0.353,61.265
3.217,0.923,0.01,0.02,0.238,0.096,0.364,62.086
3.254,0.936,0.01,0.017,0.208,0.095,0.331,61.126
3.202,0.93,0.011,0.016,0.206,0.096,0.328,63.805
3.241,0.937,0.009,0.016,0.19,0.084,0.3,60.229
3.335,0.946,0.006,0.015,0.176,0.085,0.281,49.805
3.29,0.949,0.008,0.015,0.159,0.079,0.261,49.317
3.318,0.956,0.013,0.013,0.142,0.081,0.249,47.841
3.258,0.956,0.006,0.012,0.143,0.074,0.235,47.086
3.326,0.967,0.003,0.01,0.121,0.071,0.205,61.274
3.367,0.959,0.005,0.011,0.136,0.07,0.222,61.862
3.302,0.964,0.005,0.011,0.117,0.07,0.202,58.752
3.254,0.962,0.009,0.01,0.131,0.065,0.215,62.152
3.263,0.964,0.006,0.008,0.115,0.062,0.191,60.89
3.382,0.972,0.004,0.009,0.09,0.062,0.166,60.327
3.358,0.967,0.003,0.013,0.106,0.056,0.178,59.119
3.316,0.975,0.009,0.009,0.099,0.057,0.173,58.649
3.343,0.975,0.004,0.007,0.086,0.053,0.15,59.57
3.298,0.972,0.005,0.007,0.1,0.051,0.165,59.51
3.33,0.972,0.004,0.008,0.094,0.05,0.156,65.623
3.299,0.975,0.005,0.01,0.089,0.053,0.156,66.381
3.32,0.978,0.01,0.007,0.079,0.053,0.149,65.962
3.337,0.98,0.004,0.005,0.072,0.047,0.128,66.2
3.247,0.98,0.005,0.005,0.068,0.048,0.125,66.879
